sl_no,model_type,model_name,reaction_type,reactions_text,reactions_composition_SMILES,invalid_SMILE,reactions_SMILES,invalid_reaction_SMILES,reactions_SMARTS,invalid_reaction_SMARTS,reactions_SMIRKS,invalid_reaction_SMIRKS
1,groq,groq/openai/gpt-oss-120b,Synthesis/Combination Reaction,8 Fe + S8 -> 8 FeS,"['[Fe]', 'S1SSSSSSS1', '[Fe]S']",0.0,['[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].S1SSSSSSS1>>[Fe][S].[Fe][S].[Fe][S].[Fe][S].[Fe][S].[Fe][S].[Fe][S].[Fe][S]'],0.0,['[Fe].[S]>>[Fe][S]'],0.0,['[Fe:1].[S:2]>>[Fe:1][S:2]'],0.0
2,groq,groq/openai/gpt-oss-120b,Decomposition Reaction,2H2O -> O2 + 2H2,"['O', 'O', 'O=O', '[H][H]', '[H][H]']",0.0,['O.O>>O=O.[H][H].[H][H]'],0.0,['O.O>>O=O.[H][H].[H][H]'],0.0,['[H:1][O:2][H:3].[H:4][O:5][H:6]>>[H:1][H:4].[H:3][H:6].[O:2]=[O:5]'],0.0
3,groq,groq/openai/gpt-oss-120b,Single Displacement/Substitution,Mg + 2 H2O -> Mg(OH)2 + H2,"['[Mg]', 'O', '[Mg](O)O', '[H][H]']",0.0,['[Mg].O.O>>[Mg](O)O.[H][H]'],0.0,['[Mg].[OH2].[OH2]>>[Mg]([OH])([OH]).[H][H]'],0.0,['[Mg:1].[O:2]([H:3])[H:4].[O:5]([H:6])[H:7]>>[Mg:1]([O:2][H:3])([O:5][H:6]).[H:4][H:7]'],0.0
4,groq,groq/openai/gpt-oss-120b,Double Displacement/Substitution,"[""error >>'Pb(NO'""]",['error'],,['error'],,['error'],,['error'],
5,groq,groq/openai/gpt-oss-120b,Combustion Reaction,"['error >>Error code: 400 - {\'error\': {\'message\': ""Generated JSON does not match the expected schema. Please adjust your prompt. See \'failed_generation\' for more details. Error: jsonschema: \'\' does not validate with file:///home/di/params.json#/required: missing properties: \'SMILES_response\'"", \'type\': \'invalid_request_error\', \'code\': \'json_validate_failed\', \'failed_generation\': \'{""type"": ""text"", ""text"": ""{\\\\""SMILES_response\\\\"":[\\\\""[Mg]\\\\"",\\\\""O=O\\\\"",\\\\""[Mg]O\\\\""]}""}\'}}']",['error'],,['error'],,['error'],,['error'],
8,groq,groq/openai/gpt-oss-120b,Redox/Oxidation-Reduction,"hazardous sodium metal reacts with chlorine gas to form sodium chloride. Sodium is oxidized, losing an electron and increasing its oxidation state from 0 to +1, while chlorine is reduced, gaining an electron and decreasing its oxidation state from 0 to -1. Here, sodium acts as the reducing agent and chlorine as the oxidizing agent.","['[Na]', 'ClCl', '[Na+].[Cl-]']",0.0,['[Na].ClCl>>[Na+].[Cl-]'],0.0,['[Na].[Cl]>>[Na+].[Cl-]'],0.0,['[Na:1].[Cl:2]>>[Na+:1].[Cl-:2]'],0.0
13,groq,groq/openai/gpt-oss-120b,Rearrangement Reaction,n-butane to isobutane,"['CCCC', 'CC(C)C']",0.0,['CCCC>>CC(C)C'],0.0,['[C:1][C:2][C:3][C:4]>>[C:1][C:2]([C:3])[C:4]'],0.0,['[C:1][C:2][C:3][C:4]>>[C:2]([C:1])([C:3])[C:4]'],0.0
14,groq,groq/openai/gpt-oss-120b,Photochemical Reaction,"A notable example is photosynthesis, where solar energy converts carbon dioxide and water into glucose, releasing oxygen.","['O=C=O', 'O', 'OC1C(O)C(O)C(O)C(O)C1O', 'O=O']",0.0,['O=C=O.O>>OC1C(O)C(O)C(O)C(O)C1O.O=O'],0.0,['O=C=O.O>>C(CO)O.O'],0.0,['[O:2]=[C:1]=[O:3].[O:4]>>[C:1]([O:4])=O.[O:2]=[O:3]'],0.0
26,groq,groq/openai/gpt-oss-120b,Gas-Forming Reaction,"[""error >>'CO'""]",['error'],,['error'],,['error'],,['error'],
27,groq,groq/openai/gpt-oss-120b,Metal Displacement,"['error >>Error code: 400 - {\'error\': {\'message\': ""Generated JSON does not match the expected schema. Please adjust your prompt. See \'failed_generation\' for more details. Error: jsonschema: \'\' does not validate with file:///home/di/params.json#/required: missing properties: \'SMARTS_reaction_response\'"", \'type\': \'invalid_request_error\', \'code\': \'json_validate_failed\', \'failed_generation\': \'{""type"": ""text"", ""text"": ""{\\\\n  \\\\""SMARTS_reaction_response\\\\"": [\\\\n    \\\\""Fe.Fe.O.O.O.Al.Al>>Fe.Fe.Al.Al.O.O.O\\\\""\\\\n  ]\\\\n}""}\'}}']",['error'],,['error'],,['error'],,['error'],
28,groq,groq/openai/gpt-oss-120b,Electrochemical Reaction,"['error >>Error code: 400 - {\'error\': {\'message\': ""Generated JSON does not match the expected schema. Please adjust your prompt. See \'failed_generation\' for more details. Error: jsonschema: \'\' does not validate with file:///home/di/params.json#/required: missing properties: \'SMILES_reaction_response\'"", \'type\': \'invalid_request_error\', \'code\': \'json_validate_failed\', \'failed_generation\': \'{""type"": ""text"", ""text"": ""{\\\\""SMILES_reaction_response\\\\"":[\\\\""[Zn]>>[Zn+2]\\\\""]}""}\'}}']",['error'],,['error'],,['error'],,['error'],
32,groq,groq/openai/gpt-oss-120b,Enzymatic Reaction,['error >>Cloudflare encountered an error processing this request: Bad Gateway'],['error'],,['error'],,['error'],,['error'],
37,groq,groq/openai/gpt-oss-120b,Homogeneous Catalysis,CH₃CO₂CH₃ + H₂O ⇌ CH₃CO₂H + CH₃OH,"['CC(=O)OC', 'O', 'CC(=O)O', 'CO']",0.0,['CC(=O)OC.O>>CC(=O)O.CO'],0.0,['CC(=O)OC.O>>CC(=O)O.CO'],0.0,['[C:1](=O)[O:2][C:3].[O:4][H:5][H:6]>>[C:1](=O)[O:2][H:5].[C:3][O:4][H:6]'],0.0
47,groq,groq/openai/gpt-oss-120b,Condensation Polymerization,Adipic acid reacts with hexamethylenediamine to form Nylon 66 and water: HOOC-(CH2)4-COOH + H2N-(CH2)6-NH2 -> [-CO-(CH2)4-CO-NH-(CH2)6-NH-]n + 2 H2O,"['O=C(O)CCCC(=O)O', 'NCCCCCCN', 'O=C(CCCC)C(=O)NCCCCCCN', 'O', 'O']",0.0,['O=C(O)CCCC(=O)O.NCCCCCCN>>O=C(CCCC)C(=O)NCCCCCCN.O.O'],0.0,['O=C(O)CCCCO=C(O).[N;H2]CCCCCC[N;H2]>>O=C(NCCCCCCN)CCCC.O'],0.0,['[C:1](=O)[O:2][H:3].[N:4][H:5]>>[C:1](=O)[N:4].[O:2]([H:3])[H:5]'],0.0
52,groq,groq/openai/gpt-oss-120b,Nuclear Fusion,"['error >>Error code: 400 - {\'error\': {\'message\': ""Generated JSON does not match the expected schema. Please adjust your prompt. See \'failed_generation\' for more details. Error: jsonschema: \'\' does not validate with file:///home/di/params.json#/required: missing properties: \'SMILES_reaction_response\'"", \'type\': \'invalid_request_error\', \'code\': \'json_validate_failed\', \'failed_generation\': \'{""type"": ""text"", ""text"": ""{\\\\""SMILES_reaction_response\\\\"":[\\\\""[2H].[3H]>>[4He].[n]\\\\""]}""}\'}}']",['error'],,['error'],,['error'],,['error'],
55,groq,groq/openai/gpt-oss-120b,Scattering Reaction,\\prescript{1}{}{H} + \\prescript{7}{}{Li} \\rightarrow (\\prescript{7}{}{Li})^* + \\prescript{1}{}{H},"['[H]', '[7Li]', '[7Li]', '[H]']",0.0,[],0.0,['[1H].[7Li]>>[7Li].[1H]'],0.0,['[1H:1].[7Li:2]>>[7Li:2].[1H:1]'],0.0
65,groq,groq/openai/gpt-oss-120b,Chain Reaction,"['error >>Error code: 400 - {\'error\': {\'message\': ""Generated JSON does not match the expected schema. Please adjust your prompt. See \'failed_generation\' for more details. Error: jsonschema: \'\' does not validate with file:///home/di/params.json#/required: missing properties: \'SMILES_reaction_response\'"", \'type\': \'invalid_request_error\', \'code\': \'json_validate_failed\', \'failed_generation\': \'{""type"": ""text"", ""text"": ""{\\\\""SMILES_reaction_response\\\\"":[\\\\""[Br].[H][H]>>Br[H].[H]\\\\""]}""}\'}}']",['error'],,['error'],,['error'],,['error'],
66,groq,groq/openai/gpt-oss-120b,Oscillating Reaction,"[""error >>'2-'""]",['error'],,['error'],,['error'],,['error'],
1,groq,groq/openai/gpt-oss-20b,Synthesis/Combination Reaction,An example is the formation of iron(II) sulfide from iron and sulfur [8Fe + S8 -> 8FeS],"['[Fe]', 'S1SSSSSSS1', '[Fe][S]']",0.0,['[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].[Fe].S1SSSSSSS1>>[Fe]S.[Fe]S.[Fe]S.[Fe]S.[Fe]S.[Fe]S.[Fe]S.[Fe]S'],0.0,['[Fe].[S]>>[FeS]'],0.0,['[Fe:1].[S:2]>>[Fe:1][S:2]'],0.0
1,groq,groq/openai/gpt-oss-20b,Synthesis/Combination Reaction,Another example includes the reaction of hydrogen and oxygen gases to produce water [2H2 + O2 -> 2H2O],"['[H][H]', 'O=O', 'O']",0.0,['[H][H].[O][O]>>[H][O][H].[H][O][H]'],0.0,['[H][H].[H][H].[O][O]>>[H]O[H]'],0.0,['[H:1][H:2].[H:3][H:4].[O:5][O:6]>>[H:1][O:5][H:2].[H:3][O:6][H:4'],0.0
2,groq,groq/openai/gpt-oss-20b,Decomposition Reaction,"An example is the electrolysis of water, where water (2H2O) decomposes into oxygen (O2) and hydrogen gas (2H2).","['O', '[H][H]', 'O=O']",0.0,['O.O>>[H][H].[H][H].O=O'],0.0,['O.O>>O=O.[H][H].[H][H]'],0.0,['[H:1][O:2][H:3].[H:4][O:5][H:6]>>[O:2][O:5].[H:1][H:3].[H:4][H:6'],0.0
3,groq,groq/openai/gpt-oss-20b,Single Displacement/Substitution,"An example is when magnesium replaces hydrogen in water, forming solid magnesium hydroxide and releasing hydrogen gas: Mg + 2 H2O -> Mg(OH)2 + H2.","['[Mg]', 'O', 'O', '[Mg](O)(O)', '[H][H]']",0.0,['[Mg].O.O>>[Mg+2]([OH-])([OH-]).[H][H]'],0.0,['[Mg].[OH2].[OH2]>>[Mg+2]([OH-])([OH-]).[H][H'],0.0,['[Mg:1].[H:2][O:3][H:4].[H:5][O:6][H:7]>>[Mg:1]([O:3][H:4])([O:6][H:7]).[H:2][H:5]'],0.0
4,groq,groq/openai/gpt-oss-20b,Double Displacement/Substitution,"['error >>Error code: 400 - {\'error\': {\'message\': ""Generated JSON does not match the expected schema. Please adjust your prompt. See \'failed_generation\' for more details. Error: jsonschema: \'\' does not validate with file:///home/di/params.json#/required: missing properties: \'SMILES_reaction_response\'"", \'type\': \'invalid_request_error\', \'code\': \'json_validate_failed\', \'failed_generation\': \'{""type"":""text"",""text"":""{\\\\""SMILES_reaction_response\\\\"":[\\\\""[Ba+2]ClCl.[Mg+2][O-]S(=O)(=O)[O-][O-]>>[Ba+2][O-]S(=O)(=O)[O-][O-].[Mg+2]ClCl\\\\""]}""}\'}}']",['error'],,['error'],,['error'],,['error'],
5,groq,groq/openai/gpt-oss-20b,Combustion Reaction,"[""error >>'C'""]",['error'],,['error'],,['error'],,['error'],
8,groq,groq/openai/gpt-oss-20b,Redox/Oxidation-Reduction,"hazardous sodium metal reacts with chlorine gas to form sodium chloride. Sodium is oxidized, losing an electron and increasing its oxidation state from 0 to +1, while chlorine is reduced, gaining an electron and decreasing its oxidation state from 0 to -1. Here, sodium acts as the reducing agent and chlorine as the oxidizing agent. This reaction exemplifies the core concepts of redox processes, with electron transfer leading to compound formation.","['[Na]', 'ClCl', '[Na+].[Cl-]']",0.0,['[Na].[Cl][Cl]>>[Na+].[Cl-]'],0.0,['Na.Cl>>NaCl'],0.0,['[Na:1].[Na:2].[Cl:3][Cl:4]>>[Na+:1].[Na+:2].[Cl-:3].[Cl-:4'],0.0
13,groq,groq/openai/gpt-oss-20b,Rearrangement Reaction,skeletal isomerization of n-butane to isobutane,"['CCCC', 'CC(C)C']",0.0,['CCCC>>CC(C)C'],0.0,['CCCC>>CC(C)C'],0.0,['[C:1]-[C:2]-[C:3]-[C:4]>>[C:2](-[C:1])(-[C:3])(-[C:4])'],0.0
13,groq,groq/openai/gpt-oss-20b,Rearrangement Reaction,pentane to isopentane,"['CCCCC', 'CC(C)CC']",0.0,['CCCCC>>CC(C)CC'],0.0,['CCCCC>>CC(C)CC'],0.0,['[C:1][C:2][C:3][C:4][C:5]>>[C:1][C:2]([C:3])[C:4][C:5]'],0.0
14,groq,groq/openai/gpt-oss-20b,Photochemical Reaction,"A notable example is photosynthesis, where solar energy converts carbon dioxide and water into glucose, releasing oxygen.","['O=C=O', 'O', 'C(C1C(C(C(C(O1)O)O)O)O)O', 'O=O']",0.0,['O=C=O.O.O=C=O.O.O=C=O.O.O=C=O.O.O=C=O.O.O=C=O>>C(C(C(C(C(CO)O)O)O)O).O=O.O=O.O=O.O=O.O=O'],0.0,['O=C=O.O>>C[C@H](O)[C@@H](O)[C@@H](O)[C@@H](O)CO.O=O'],0.0,"[""The global photosynthesis reaction cannot be represented in SMIRKS because it involves many new atoms and lacks a one-to-one atom mapping. SMIRKS requires identical atom mappings on both sides of '>>'.""]",0.0
14,groq,groq/openai/gpt-oss-20b,Photochemical Reaction,"The image illustrates a Paternò-Büchi reaction, where a photoexcited carbonyl group reacts with an olefin to yield an oxetane.","['O=CC', 'C=C', 'O1CCCO1']",0.0,['C=O.C=C>>C1COC1'],0.0,['[C:1]=O.[C:2]=C[C:3]>>O1[C:1][C:2][C:3]1'],0.0,['[C:1](=[O:4]) . [C:2]=[C:3]>>[C:1]1[O:4][C:2][C:3]1'],0.0
26,groq,groq/openai/gpt-oss-20b,Gas-Forming Reaction,"['error >>Error code: 400 - {\'error\': {\'message\': ""Generated JSON does not match the expected schema. Please adjust your prompt. See \'failed_generation\' for more details. Error: jsonschema: \'\' does not validate with file:///home/di/params.json#/required: missing properties: \'SMARTS_reaction_response\'"", \'type\': \'invalid_request_error\', \'code\': \'json_validate_failed\', \'failed_generation\': \'{""type"": ""text"", ""text"": ""{\\\\""SMARTS_reaction_response\\\\"":[\\\\""[Na+].[Na+].[S-2]+2[H+].[Cl-]>>2[Na+].[Cl-]+[H][S][H]\\\\""]}""}\'}}']",['error'],,['error'],,['error'],,['error'],
27,groq,groq/openai/gpt-oss-20b,Metal Displacement,"['error >>Error code: 400 - {\'error\': {\'message\': ""Generated JSON does not match the expected schema. Please adjust your prompt. See \'failed_generation\' for more details. Error: jsonschema: \'\' does not validate with file:///home/di/params.json#/required: missing properties: \'SMARTS_reaction_response\'"", \'type\': \'invalid_request_error\', \'code\': \'json_validate_failed\', \'failed_generation\': \'{""type"": ""text"", ""text"": ""{\\\\""SMARTS_reaction_response\\\\"":[\\\\""[Fe;O3][Fe;O3].Al.Al>>Fe.Fe.[Al;O3][Al;O3][O;Al]\\\\""]}""}\'}}']",['error'],,['error'],,['error'],,['error'],
28,groq,groq/openai/gpt-oss-20b,Electrochemical Reaction,"['error >>Error code: 400 - {\'error\': {\'message\': ""Generated JSON does not match the expected schema. Please adjust your prompt. See \'failed_generation\' for more details. Error: jsonschema: \'\' does not validate with file:///home/di/params.json#/required: missing properties: \'SMILES_response\'"", \'type\': \'invalid_request_error\', \'code\': \'json_validate_failed\', \'failed_generation\': \'{""type"": ""text"", ""text"": ""{\\\\""SMILES_response\\\\"":[\\\\""Zn\\\\"",\\\\""[Cu+2]\\\\"",\\\\""[Zn+2]\\\\"",\\\\""Cu\\\\""]}""}\'}}']",['error'],,['error'],,['error'],,['error'],
34,groq,groq/openai/gpt-oss-20b,Hydrolysis Reaction,"For instance, carbohydrates like sucrose can be hydrolyzed into glucose and fructose, a process known as saccharification.","['C(C(C(C(C(C(C(CO)O)O)O)O)O)O)O', 'C(C1C(C(C(C(O1)O)O)O)O)O', 'C(C(C1C(C(C(O1)O)O)O)O)O']",0.0,['C[C@@H]1O[C@@H]([C@@H](O[C@H]2O[C@H](O)[C@@H](O)[C@@H](O)[C@H]2O)O)O[C@@H](O)[C@H](O)[C@@H]1O+O>>C[C@H]1O[C@@H](O)[C@@H](O)[C@@H](O)[C@H](O)[C@@H]1O+C[C@@H](O)[C@@H](O)[C@@H](O)[C@@H](O)C=O'],0.0,['[C@@H]1O[C@@H](O[C@@H]2O[C@H](O[C@H]3O[C@@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H](O)[C@@H]2O)[C@@H](O)[C@H]1O>>C[C@H](O)[C@@H](O)[C@@H](O)[C@@H](O)[C@H]O.C[C@H](O)[C@@H](O)[C@@H](O)[C@@H](O)[C@H]O'],0.0,['[C:1][C:2]>>[C:1].[C:2]'],0.0
36,groq,groq/openai/gpt-oss-20b,Catabolic Reaction,"['error >>Error code: 400 - {\'error\': {\'message\': ""Failed to generate JSON. Please adjust your prompt. See \'failed_generation\' for more details."", \'type\': \'invalid_request_error\', \'code\': \'json_validate_failed\', \'failed_generation\': \'completion returned no choices\'}}']",['error'],,['error'],,['error'],,['error'],
37,groq,groq/openai/gpt-oss-20b,Homogeneous Catalysis,CH₃CO₂CH₃ + H₂O ⇌ CH₃CO₂H + CH₃OH,"['CC(=O)OC', 'O', 'CC(=O)O', 'CO']",0.0,['CC(=O)OC.O>>CC(=O)O.CO'],0.0,['CC(=O)OC.O>>CC(=O)O.CO'],0.0,['[C:1](=[O:2])[O:3][C:4]+[O:5]>>[C:1](=[O:2])O[O:5][H:6]+[C:4][O:3][H:7'],0.0
42,groq,groq/openai/gpt-oss-20b,Photo-isomerization,"Norbornadiene to Quadricyclane Conversion: Catalyzed by UV light, releasing energy suitable for solar energy storage.","['C1=CC2C(C1)C=CC2', 'C1C2C3C(C1)C2C3']",0.0,['C1C=CC2CC1C2>>C1C2C3CC1C3C2'],0.0,['C1=C2C3C(C1)C2=CC3>>C1C2C3C(C1)C2C3'],0.0,['[C:1]=[C:2][C:3]=[C:4]>>[C:1]-[C:2]-[C:3]-[C:4]1'],0.0
47,groq,groq/openai/gpt-oss-20b,Condensation Polymerization,"Illustrated here is the formation of Nylon 66 from adipic acid and hexamethylene diamine. The reaction gives off water as a byproduct and forms peptide bonds, linking monomer units into a repeating structure.","['O=C(O)CCCC(=O)O', 'NCCCCCCN', 'O', 'NC(=O)CCCCCC(=O)N']",0.0,['O=C(O)CCCC(=O)O.NCCCCCCN>>O=C-CCCC-C(=O)-N-CCCCCC-N.O.O'],0.0,['O=C(O)CCCC(=O)O.NCCCCCCN>>O=C(NCCCCCCN)CCCC(=O)O.[OH2'],0.0,['[C:1](=O)[O:2][O:3][H:4].C:5.C:6.C:7.C:8.[C:9](=O)[O:10][O:11][H:12].[N:13][H:14].C:15.C:16.C:17.C:18.C:19.C:20[N:21][H:22]>>[C:1](=O)[O:2][N:13]C:5.C:6.C:7.C:8.[C:9](=O)[O:10][N:21]C:15.C:16.C:17.C:18.C:19.C:20.[H:4][O][H:14].[H:12][O][H:22]'],0.0
48,groq,groq/openai/gpt-oss-20b,Ring-Opening Polymerization,An example is the polymerization of caprolactone to produce polycaprolactone.,"['O=C1CCCCCC1O', 'OCCCCC(=O)O']",0.0,['O=C1CCCCCC1O>>[O-]C1CCCCCC1C(=O)[O-]'],0.0,['O=C1OC(CCCCC1)O>>O=C1OC(CCCCC1)O'],0.0,['[O:1]C1CCCCCC1.[O:2]C1CCCCCC1>>[O:1]C1CCCCCC1[O:2]C1CCCCCC1'],0.0
51,groq,groq/openai/gpt-oss-20b,Nuclear Fission,"neutron is absorbed by uranium-235, creating uranium-236, which splits into isotopes such as krypton-92 and barium-141, along with releasing free neutrons and gamma rays","['[235U]', '[N]', '[236U]', '[92Kr]', '[141Ba]', '[N]']",0.0,['[235U]>>[92Kr].[141Ba]'],0.0,['[235U].[n]>>[92Kr].[141Ba].[n].[n].[n'],0.0,[],0.0
53,groq,groq/openai/gpt-oss-20b,Nuclear Decay,"['error >>Error code: 400 - {\'error\': {\'message\': ""Generated JSON does not match the expected schema. Please adjust your prompt. See \'failed_generation\' for more details. Error: jsonschema: \'\' does not validate with file:///home/di/params.json#/required: missing properties: \'SMILES_reaction_response\'"", \'type\': \'invalid_request_error\', \'code\': \'json_validate_failed\', \'failed_generation\': \'{""type"": ""text"", ""text"": ""{\\\\""SMILES_reaction_response\\\\"":[\\\\""[I]>>[Xe].[e-]\\\\""]}""}\'}}']",['error'],,['error'],,['error'],,['error'],
55,groq,groq/openai/gpt-oss-20b,Scattering Reaction,['error >>Replacement index 1 out of range for positional args tuple'],['error'],,['error'],,['error'],,['error'],
65,groq,groq/openai/gpt-oss-20b,Chain Reaction,"['error >>Error code: 400 - {\'error\': {\'message\': ""Generated JSON does not match the expected schema. Please adjust your prompt. See \'failed_generation\' for more details. Error: jsonschema: \'\' does not validate with file:///home/di/params.json#/required: missing properties: \'SMILES_reaction_response\'"", \'type\': \'invalid_request_error\', \'code\': \'json_validate_failed\', \'failed_generation\': \'{""type"": ""text"", ""text"": ""{\\\\""SMILES_reaction_response\\\\"":[\\\\""[H].BrBr>>BrH.[Br]\\\\""]}""}\'}}']",['error'],,['error'],,['error'],,['error'],
66,groq,groq/openai/gpt-oss-20b,Oscillating Reaction,H2O2 + 3 I^- + 2 H^+ -> I3^- + 2 H2O,"['OO', '[I-]', '[I-]', '[I-]', '[H+]', '[H+]', '[I-]I[I-]', 'O', 'O']",0.0,['HOOH.[I-].[I-].[I-].[H+].[H+]>>I[I-]I.O.O'],0.0,['O[O].[I-].[I-].[I-].[H+].[H+]>>[I-]([I])[I-].O.O'],0.0,['[I-:1].[I-:2].[I-:3].[O:5]([H:6])[O:7]([H:8]).[H+:9].[H+:10]>>[I-:1][I-:2][I-:3].[O:5]([H:6])([H:9]).[O:7]([H:8])([H:10]'],0.0
66,groq,groq/openai/gpt-oss-20b,Oscillating Reaction,I3^- + 2 S2O3^2- -> 3 I^- + S4O6^2-,"['[I-]I[I-]', 'O=S(=O)[S-]([O-])[O-]', '[I-]', 'O=S(=O)[S-]([O-])[S-]([O-])[S-]O-']",0.0,['[I-]I[I-].[O-]S(=O)[S-]O.[O-]S(=O)[S-]O>>[I-].[I-].[I-].[O-]S(=O)[S-][S-]S(=O)[O-]'],0.0,['[I-][I][I-].[O-]S(=O)[S-][O-].[O-]S(=O)[S-][O-]>>[I-].[I-].[I-].[O-]S(=O)S-S-S(=O)[O-]'],0.0,['[I-:1][I:2][I-:3]+[S:4]([O])([O])[S:5].[S:6]([O])([O])[S:7]>>[I-:1].[I-:2].[I-:3]+[S:4]([O])([O])[S:5][S:6]([O])([O])[S:7'],0.0
67,groq,groq/openai/gpt-oss-20b,Clock Reaction,"iodine is initially produced in a slow reaction, followed by a rapid reaction where thiosulfate reduces iodine back to iodide ions. When thiosulfate is consumed, iodine forms a complex with starch causing the blue color.","['I2.[O-]S(=O)(=O)[S-].[O-]S(=O)(=O)[S-] > 2[I-].[O-]S(=O)(=O)S-S-S-O=S(=O)[O-]', 'C1OC(CO)C(O)C(O)C1O.I2 > C1OC(CO)C(O)C(O)C1O.I2']",0.0,['I2+2[O-]S(=O)([O-])[S-]>>2[I-]+[O-]S(=O)([O-])S[S-][O-]S(=O)([O-]]'],0.0,"['[I2].[S2O3]>>[I-].[I-].[S4O6]', '[I2].C1OC(CO)C(O)C1O>>[I2]C1OC(CO)C(O)C1O']",0.0,"['[I:1][I:2].[S:3]>>[I-:1][I-:2].[S:3]', '[I:1][I:2].[Starch:3]>>[Starch-I:3][I:1][I:2]']",0.0
